"",7/1/2010-,7/1/2011-,7/1/2012-,7/1/2013-,7/1/2014-,7/1/2015-,7/1/2016-,7/1/2017-,7/1/2018-,7/1/2010-
State/Jurisdiction,7/1/2011,7/1/2012,7/1/2013,7/1/2014,7/1/2015,7/1/2016,7/1/2017,7/1/2018,7/1/2019,7/1/2019
Maryland,519,"-6,440","-11,012","-16,479","-25,651","-29,709","-24,054","-24,353","-23,665","-159,993"
Baltimore Region,-227,"1,417","-2,535","-5,861","-9,127","-12,116","-10,384","-9,616","-11,042","-59,401"
Anne Arundel,"1,673","1,202","1,413",-9,-277,516,771,"1,620","1,162","8,472"
Baltimore,"1,141",-61,21,"-2,173","-2,595","-2,998","-3,872","-3,794","-3,211","-17,520"
Carroll,-343,-318,31,5,-369,-276,401,672,120,-64
Harford,340,770,-505,-523,-884,-105,876,"1,365","1,096","2,533"
Howard,"1,875","2,212","1,202",36,870,"1,000",676,861,710,"10,012"
Baltimore City,"-4,913","-2,388","-4,697","-3,197","-5,872","-10,253","-9,236","-10,340","-10,919","-62,834"
Suburban Washington Region,"-1,935","-6,306","-8,118","-9,161","-15,514","-18,284","-15,221","-17,508","-15,573","-107,800"
Frederick,"1,214",530,-58,445,-98,452,"2,206","3,050","3,280","11,310"
Montgomery,576,"-2,442","-5,072","-6,776","-8,778","-9,314","-7,393","-10,633","-9,423","-58,943"
Prince George's,"-3,725","-4,394","-2,988","-2,830","-6,638","-9,422","-10,034","-9,925","-9,430","-60,167"
Southern Maryland Region,"1,905",488,956,374,-50,946,"1,588","1,467","1,603","10,000"
Calvert,28,-12,365,-250,-381,257,127,464,272,962
Charles,987,238,984,695,181,700,"1,355","1,303","1,043","7,745"
St. Mary's,890,262,-393,-71,150,-11,106,-300,288,"1,293"
Western Maryland Region,359,-907,-658,"-1,122",-892,-89,-227,71,-107,"-3,490"
Allegany,-234,-466,-207,-433,-301,-203,-468,-208,-332,"-2,951"
Garrett,30,-193,0,-306,-222,-16,-73,-30,-31,-853
Washington,563,-248,-451,-383,-369,130,314,309,256,314
Upper Eastern Shore Region,254,-550,-336,-220,111,-130,216,770,620,819
Caroline,-320,-389,-95,-190,-74,135,177,94,9,-687
Cecil,29,-242,-106,50,10,-110,-282,44,102,-511
Kent,109,-237,-94,62,22,60,-127,94,124,31
Queen Anne's,324,197,-50,138,127,-19,439,441,143,"1,772"
Talbot,112,121,9,-280,26,-196,9,97,242,214
Lower Eastern Shore Region,163,-582,-321,-489,-179,-36,-26,463,834,-121
Dorchester,-46,-220,47,-119,-135,-162,-123,-174,19,-880
Somerset,-186,-304,-148,-457,99,116,62,-239,53,-994
Wicomico,267,-241,-330,-50,-201,-192,-335,351,186,-584
Worcester,128,183,110,137,58,202,370,525,576,"2,337"
