county,state_name,fips_code,total_loans,total_kabbage_loans,percent_kabbage
Abbeville County,South Carolina,45001,324,8,2.4691358024691357
Acadia Parish,Louisiana,22001,1306,8,0.6125574272588056
Accomack County,Virginia,51001,462,1,0.21645021645021645
Ada County,Idaho,16001,11258,51,0.45301119204121515
Adair County,Iowa,19001,962,2,0.2079002079002079
Adair County,Kentucky,21001,962,2,0.2079002079002079
Adair County,Missouri,29001,962,2,0.2079002079002079
Adair County,Oklahoma,40001,962,2,0.2079002079002079
Adams County,Colorado,8001,7481,146,1.9516107472263067
Adams County,Idaho,16003,7481,146,1.9516107472263067
Adams County,Illinois,17001,7481,146,1.9516107472263067
Adams County,Indiana,18001,7481,146,1.9516107472263067
Adams County,Iowa,19003,7481,146,1.9516107472263067
Adams County,Mississippi,28001,7481,146,1.9516107472263067
Adams County,Nebraska,31001,7481,146,1.9516107472263067
Adams County,North Dakota,38001,7481,146,1.9516107472263067
Adams County,Ohio,39001,7481,146,1.9516107472263067
Adams County,Pennsylvania,42001,7481,146,1.9516107472263067
Adams County,Washington,53001,7481,146,1.9516107472263067
Adams County,Wisconsin,55001,7481,146,1.9516107472263067
Adams County,Colorado,8001,2240,7,0.3125
Adams County,Idaho,16003,2240,7,0.3125
Adams County,Illinois,17001,2240,7,0.3125
Adams County,Indiana,18001,2240,7,0.3125
Adams County,Iowa,19003,2240,7,0.3125
Adams County,Mississippi,28001,2240,7,0.3125
Adams County,Nebraska,31001,2240,7,0.3125
Adams County,North Dakota,38001,2240,7,0.3125
Adams County,Ohio,39001,2240,7,0.3125
Adams County,Pennsylvania,42001,2240,7,0.3125
Adams County,Washington,53001,2240,7,0.3125
Adams County,Wisconsin,55001,2240,7,0.3125
Adams County,Colorado,8001,563,2,0.3552397868561279
Adams County,Idaho,16003,563,2,0.3552397868561279
Adams County,Illinois,17001,563,2,0.3552397868561279
Adams County,Indiana,18001,563,2,0.3552397868561279
Adams County,Iowa,19003,563,2,0.3552397868561279
Adams County,Mississippi,28001,563,2,0.3552397868561279
Adams County,Nebraska,31001,563,2,0.3552397868561279
Adams County,North Dakota,38001,563,2,0.3552397868561279
Adams County,Ohio,39001,563,2,0.3552397868561279
Adams County,Pennsylvania,42001,563,2,0.3552397868561279
Adams County,Washington,53001,563,2,0.3552397868561279
Adams County,Wisconsin,55001,563,2,0.3552397868561279
Adams County,Colorado,8001,1096,25,2.281021897810219
