ZIP_CODE,FirstDose,SecondDose,SingleDose,AtleastOneDose,FullyVaccinated,length,is_md
20906,54002,48474,2426,56428,50900,5,yes
20878,49835,44544,3355,53190,47899,5,yes
20874,43758,39555,3373,47131,42928,5,yes
21234,41998,38749,2974,44972,41723,5,yes
20904,41790,37453,1638,43428,39091,5,yes
20854,40586,35445,2107,42693,37552,5,yes
20850,38792,34838,2486,41278,37324,5,yes
21122,36756,33963,3068,39824,37031,5,yes
21117,37807,34607,2338,40145,36945,5,yes
20902,38632,34128,1892,40524,36020,5,yes
21043,36731,33784,2132,38863,35916,5,yes
21228,35917,33114,2473,38390,35587,5,yes
21224,33600,30064,3406,37006,33470,5,yes
21042,34310,31444,1946,36256,33390,5,yes
20852,35013,31065,1882,36895,32947,5,yes
21061,31868,28955,2589,34457,31544,5,yes
21044,32325,29752,1747,34072,31499,5,yes
20774,33116,29621,1502,34618,31123,5,yes
21222,29998,27322,3445,33443,30767,5,yes
21215,31173,27630,1981,33154,29611,5,yes
21093,30218,27586,1854,32072,29440,5,yes
21740,27143,24516,4694,31837,29210,5,yes
20772,30675,27579,1387,32062,28966,5,yes
20910,30594,26866,1627,32221,28493,5,yes
21045,29255,26789,1687,30942,28476,5,yes
