lender,total_undisbursed_amount,total_amount
"BSD Capital, LLC dba Lendistry",11760704,20374609
"Capital Plus Financial, LLC",4819862,19228611
"BancCentral, National Association",4095037.86,20942538.02
Chickasaw Community Bank,4057604.22,27827661.84
Benworth Capital,3477653.5,16023131.5
"Leader Bank, National Association",3450731,4278129
"Prestamos CDFI, LLC",2135679,24160739
Regent Bank,2013582.76,100345241.99
SpiritBank,2000000,79500210.55
Security State Bank of Oklahoma,1780955.58,19565374.04
